,v1,v2
0,ham,"jurong point , crazy .. available bugis n great world la e buffet ... cine get amore wat ..."
1,ham,ok lar ... joke wif u oni ...
2,spam,free entry 2 wkly comp win fa cup final tkts 21st 2005 . text fa 87121 receive entry question(std txt rate)t&c apply 08452810075over18
3,ham,u dun early hor ... u c ...
4,ham,"nah think go usf , live"
5,spam,"freemsg hey darle 3 week word ! like fun ? tb ok ! xxx std chgs send , å£1.50 rcv"
6,ham,brother like speak . treat like aids patent .
7,ham,request ' melle melle ( oru minnaminunginte nurungu vettam ) ' set callertune caller . press * 9 copy friend callertune
8,spam,winner ! ! value network customer select receivea å£900 prize reward ! claim 09061701461 . claim code kl341 . valid 12 hour .
9,spam,mobile 11 month ? u r entitle update late colour mobile camera free ! mobile update co free 08002986030
10,ham,"go to home soon want talk stuff anymore tonight , k ? cry today ."
11,spam,"chance win cash ! 100 20,000 pound txt > csh11 send 87575 . cost 150p / day , 6days , 16 + tsandc apply reply hl 4 info"
12,spam,"urgent ! win 1 week free membership å£100,000 prize jackpot ! txt word : claim : 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
13,ham,search right word thank breather . promise will not help grant fulfil promise . wonderful blessing time .
14,ham,date sunday ! !
15,spam,"xxxmobilemovieclub : use credit , click wap link txt message click > > http://wap . xxxmobilemovieclub.com?n=qjkgighjjgcbl"
16,ham,oh k ... i'm watch :)
17,ham,eh u remember 2 spell ... yes . v naughty v wet .
18,ham,fine thatåõs way u feel . thatåõs way gota b
19,spam,"england v macedonia - not miss goal / team news . txt ur national team 87077 eg england 87077 try : wale , scotland 4txt / ì¼1.20 poboxox36504w45wq 16 +"
20,ham,seriously spell ?
21,ham,iû÷m go try 2 month ha ha joke
22,ham,ì _ pay lar ... da stock comin ...
23,ham,aft finish lunch str lor . ard 3 smth lor . u finish ur lunch ?
24,ham,ffffffffff . alright way meet soon ?
25,ham,force eat slice . hungry tho . suck . mark get worried . know sick turn pizza . lol
26,ham,lol convincing .
27,ham,catch bus ? fry egg ? tea ? eat mom leave dinner ? feel love ?
28,ham,"& amp ; pack car , let know room"
29,ham,ahhh . work . vaguely remember ! feel like ? lol
30,ham,"wait clear , sure sarcastic x want live"
31,ham,yeah get 2 v apologetic . n fall actin like spoil child got catch . till 2 ! will ! badly cheer . ?
32,ham,k tell .
33,ham,fear faint housework ? quick cuppa
34,spam,thank subscription ringtone uk mobile charge å£5 / month confirm reply yes . reply charge
35,ham,yup ... ok home look timing msg ì _ ... xuhui go learn 2nd lesson 8
36,ham,"oop , let know roommate"
37,ham,letter b car
38,ham,lor ... u decide ...
39,ham,hello ! saturday ? texte decide tomo . try invite !
40,ham,pls ahead watt . want sure . great weekend . abiola
41,ham,"forget tell ? want , need , crave ... ... love sweet arabian steed ... mmmmmm ... yummy"
42,spam,07732584351 - rodger burn - msg = try reply sms free nokia mobile + free camcorder . 08000930705 delivery tomorrow
43,ham,see ?
44,ham,great ! hope like man endow .   & lt;#&gt ;   inch ...
45,ham,call .. message .. miss call
46,ham,hep b immunisation nigeria .
47,ham,"fair , go ?"
48,ham,"yeah hopefully , tyler maybe ask bit"
49,ham,u know stubborn . want hospital . keep tell mark weak sucker . hospital weak sucker .
50,ham,think . time see class .
51,ham,"gram usually run like   & lt;#&gt ; , half eighth smart get second gram   & lt;#&gt ;"
52,ham,k fyi x ride early tomorrow morning crash place tonight
53,ham,"wow . realize embarassed accomodation . think like , good happy \the cave\ "" . sorry . sorry offer . sorry room embarassing . """
54,spam,sm . ac sptv : new jersey devil detroit red wing play ice hockey . correct incorrect ? end ? reply end sptv
55,ham,know mallika sherawat yesterday ? find @   & lt;url&gt ;
56,spam,"congrat ! 1 year special cinema pass 2 . 09061209465 ! c suprman v , matrix3 , starwars3 , etc 4 free ! bx420 - ip4 - 5we . 150pm . not miss !"
57,ham,"sorry , later meeting ."
58,ham,tell reach
59,ham,yes .. gauti sehwag odi series .
60,ham,go to pick $ 1 burger way home . . pain kill .
61,ham,ha ha ha good joke . girl situation seeker .
62,ham,check iq
63,ham,"sorry roommate take forever , ok come ?"
64,ham,ok lar double check wif da hair dresser say wun cut v short . say cut look nice .
65,spam,"value customer , pleased advise follow recent review mob . award å£1500 bonus prize , 09066364589"
66,ham,"today \song dedicated day .. \ "" song u dedicate ? send ur valuable frnd rply ... """
67,spam,"urgent ur award complimentary trip eurodisinc trav , aco&entry41 å£1000 . claim txt dis 87121 18 + 6*å£1.50(morefrmmob . shracomorsglsuplt)10 , ls1 3aj"
68,spam,"hear new \divorce barbie\ "" ? come ken stuff ! """
69,ham,plane month end .
70,ham,wah lucky man ... save money ... hee ...
71,ham,finish class .
72,ham,hi babe m home wanna ? xx
73,ham,k .. k:)where you?how perform ?
74,ham,u ...
75,ham,wait machan . free .
76,ham,s cool . gentleman treat dignity respect .
77,ham,like people :) shy pa .
78,ham,operate   & lt;#&gt ;  
79,ham,. look job . ta earn .
80,ham,"sorry , later"
81,ham,k. ah ?
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup stop .
85,ham,"later , network . urgnt , sm ."
86,ham,real u get yo ? need 2 ticket jacket . multis .
87,ham,yes start send request pain come bed . double coin factory . get to cash nitro .
88,ham,tonight babe
89,ham,"ela kano . ,il download , come wen ur free .."
90,ham,yeah ! donû÷t stand close tho- youû÷ll catch !
91,ham,sorry pain . ok meet night ? spend late afternoon casualty mean y stuff42moro include time sheet . sorry .
92,ham,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile ! !
93,spam,customer service representative 0800 169 6031 10am-9pm win guarantee å£1000 cash å£5000 prize !
94,ham,not plan buy later . check lido get 530 e afternoon . u finish work ?
95,spam,"free ringtone wait collect . simply text password \mix\ "" 85069 verify . usher britney . fml"
96,ham,watch telugu movie .. wat abt u ?
97,ham,. finish load loan pay
98,ham,"hi . wk ok - hol ! yes bit run . forget hairdresser appointment need home n shower . cause prob u?\ ""  ham """
99,ham,text anymore . .
100,ham,okay ur price long legal ! wen pick ? y u ave x ams xx
101,ham,look car buy . go 4the drive test .
102,ham,request ' melle melle ( oru minnaminunginte nurungu vettam ) ' set callertune caller . press * 9 copy friend callertune
103,ham,"wow . right ! mean . guess give boston man change search location nyc , change . cuz signin page say boston ."
104,ham,umma life vava umma love lot dear
105,ham,thank lot wish birthday . thank make birthday truly memorable .
106,ham,"aight , hit cash"
107,ham,ip address test consider computer minecraft server
108,ham,know ! grumpy old people . mom like well lie . play joke ...
109,ham,not worry . guess busy .
110,ham,plural noun research ?
111,ham,go dinner.msg .
112,ham,ok wif cos like 2 try new thing . scare u dun like mah . cos u say loud .
113,spam,gent ! try contact . weekend draw show win å£1000 prize guarantee . 09064012160 . claim code k52 . valid 12hrs . 150ppm
114,ham,"wa , ur openin sentence formal ... , fine , juz tt eatin n puttin weight ... haha ... anythin special happen ?"
115,ham,"enter cabin pa say , '' happy b'day boss ! ! '' . feel special . askd 4 lunch . lunch invite apartment . go ."
116,spam,winner u specially select 2 receive å£1000 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810910p / min ( 18 + )
117,ham,goodo ! yes speak friday - egg - potato ratio tortilla need !
118,ham,hmm ... uncle inform pay school directly . pls buy food .
119,spam,private ! 2004 account statement 07742676969 show 786 unredeemed bonus point . claim 08719180248 identifier code : 45239 expire
120,spam,"urgent ! mobile . award å£2000 bonus caller prize 5/9/03 final try contact u ! landline 09064019788 box42wr29c , 150ppm"
121,ham,new address -apples&pairs&all malarky
122,spam,today voda number end 7548 select receive $ 350 award . match 08712300220 quote claim code 4041 standard rate app
123,ham,go sao mu today . 12
124,ham,ìï predict wat time ì_'ll finish buying ?
125,ham,"good stuff , ."
126,ham,"know , yetunde send money . send text bother send . , not involve . impose place , apologise ."
127,ham,room .
128,ham,hey girl . r u ? hope u r del r bak ! long time c ! sum time lucyxx
129,ham,k .. k:)how cost ?
130,ham,home .
131,ham,"dear , tmorrow.pls accomodate ."
132,ham,answer question .
133,spam,sunshine quiz wkly q ! win sony dvd player u know country algarve ? txt ansr 82277 . å£1.50 sp : tyrone
134,spam,want 2 lay tonight ? want real dog location send direct 2 ur mob ? join uk large dog network bt txte gravel 69888 ! not . ec2a . 31p.msg@150p
135,ham,haf msn . yijue@hotmail.com
136,ham,. meet
137,ham,. check room befor activity
138,spam,rcv msgs chat svc . free hardcore service text : 69988 u u age verify yr network & try
139,ham,get c ... lazy type ... forget ì _ lect ... see pouch like v nice ...
140,ham,"k , text way"
141,ham,"sir , wait mail ."
142,ham,"swt think : \nver tired little thing 4 lovable person .. \ "" coz .. somtime little thing occupy d big heart .. gud ni8 """
143,ham,know . pls open ?
144,ham,yes ya dot
145,ham,s staff take class ?
146,spam,"freemsg reply text ? randy , sexy , female live local . luv hear u. netcollex ltd 08700621170150p msg reply stop end"
147,ham,ummma.will check in.our life begin qatar pls pray hard .
148,ham,k .. delete contact ?
149,ham,sindu get job birla soft ..
150,ham,wine flow nevere ..
151,ham,yup thk cine well cos need 2 2 plaza mah .
152,ham,ok ... ur typical reply ...
153,ham,request ' melle melle ( oru minnaminunginte nurungu vettam ) ' set callertune caller . press * 9 copy friend callertune
154,ham,"dirt , floor , window , shirt . open mouth , come flow . dream world , half chore . time joy , lot tv show i.ll . guess like thing exist , like rain , hail mist , time , ."
155,ham,aaooooright work ?
156,ham,leave house ...
157,ham,"hello , love . ? interview today ? happy ? good boy ? think me?are miss ?"
158,spam,customer service annoncement . new year delivery wait . 07046744435 arrange delivery
159,spam,winner u specially select 2 receive å£1000 cash 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810810
160,ham,safe need miss envy real life
161,ham,new car house parents.:)i new job hand :)
162,ham,love . excite day spend . happy .
163,spam,-pls stop bootydelious ( 32 / f ) invite friend . reply yes-434 no-434 : www.sms.ac/u/bootydelious stop ? send stop frnd 62468
164,spam,"bangbabe ur order way . u receive service msg 2 download ur content . u , goto wap . bangb . tv ur mobile internet / service menu"
165,ham,place ur point e culture module .
166,spam,urgent ! try contact . weekend draw show win å£900 prize guarantee . 09061701939 . claim code s89 . valid 12hrs
167,ham,"hi frnd , good way avoid missunderstde wit beloved ?"
168,ham,great escape . fancy bridge need lager . tomo
169,ham,yes :) completely form:)clark utter waste .
170,ham,"sir , need axis bank account bank address ."
171,ham,"hmmm .. thk sure get time hop ard ... ya , 4 free abt ... muz u discuss liao ..."
172,ham,time come later ?
173,ham,"bloody hell , not believe forget surname mr . ill u clue , spanish begin m ..."
174,ham,", go to finish bath . good ... fine night ."
175,ham,let know get money carlos
176,ham,u go mall ?
177,ham,"turn friend stay will til ~ & lt;#&gt ; , feel free ahead smoke $ & lt;#&gt ;   worth"
178,ham,text . not reply let know log
179,ham,hi ! speak maneesha v. like know satisfied experience . reply toll free yes .
180,ham,lift hope offer money . need . especially end month approach hurt study . anyways gr8 weekend
181,ham,lol . u trust .
182,ham,ok . gentleman treat dignity respect .
183,ham,", guy close ?"
184,ham,go great.bye
185,ham,hello handsome ! find job ? lazy ? work get net mummy ? boytoy ? miss ?
186,ham,"haha awesome , minute"
187,spam,customer service representative freephone 0808 145 4742 9am-11pm win guarantee å£1000 cash å£5000 prize !
188,ham,get xmas radio time .
189,ham,ju reach home . bathe . sis net tell u finish k ...
190,spam,unique ? find 30th august . www.areyouunique.co.uk
191,ham,sorry . join league people not touch . mean great deal . friend time great personal cost . great week.|
192,ham,hi :) finally complete course :)
193,ham,stop . suggest stay able or stool .
194,ham,? hope settle new school year . wishin gr8 day
195,ham,gud mrng dear hav nice day
196,ham,u get person story
197,ham,hamster dead ? hey tmr meet 1 pm orchard mrt ?
198,ham,hi kate evening ? hope tomorrow bit bloody babyjontet ! txt u . :) xxx
199,ham,"find , enc   & lt;#&gt ; , ?"
200,ham,send   & lt;#&gt ;   buck
201,ham,hello darlin ve finish college txt u finish u love kate xxx
202,ham,account refill successfully inr   & lt;decimal&gt ; . keralacircle prepay account balance rs   & lt;decimal&gt ; . transaction d kr & lt;#&gt ; .
203,ham,goodmorning sleep ga .
204,ham,u alter 11 ok .
205,ham,ìï like dat dun buy ericsson oso oredi lar ...
206,ham,"enter cabin pa say , '' happy b'day boss ! ! '' . feel special . askd 4 lunch . lunch invite apartment . go ."
207,ham,"aight yo , dat straight dogg"
208,ham,connection today   & lt;decimal&gt ;   refund bill
209,ham,:) shoot big load ready !
210,ham,"bruv , hope great break . rewarding semester ."
211,ham,home chat
212,ham,k:)k:)good:)study .
213,ham,yup ... ì _ noe leh ...
214,ham,sound great ! home ?
215,ham,finally match head draw prediction .
216,ham,tired . sleep past night .
217,ham,easy ah?sen got select mean good ..
218,ham,exam march 3
219,ham,yeah . think use gt atm register . sure help let know . sure ready .
